カウンターID,最終情報更新日,廃止フラグ,承認年月日,廃止年月日,事業者名（日本語）,事業者名（英語）,事業者住所_郵便番号,事業者住所_都道府県コード,事業者住所_市町村コード,事業者住所_大字丁目・番地等（日本語）,事業者住所_大字丁目・番地等（英語）,カウンター名称（日本語）,カウンター名称（英語）,カウンター住所_郵便番号,カウンター住所_都道府県コード,カウンター住所_市町村コード,カウンター住所_大字丁目・番地等（日本語）,カウンター住所_大字丁目・番地等（英語）,カウンター住所_建物階層,カウンター住所_緯度,カウンター住所_経度,カウンター住所_施設類型,カウンター住所_設置公共交通機関名（又は最寄公共交通機関名）（日本語）,カウンター住所_設置公共交通機関名（又は最寄公共交通機関名）（英語）,カウンター電話番号,外部リンクＵＲＬ,営業時間_月曜日_開始時間,営業時間_月曜日_終了時間,営業時間_月曜日_定休日フラグ,営業時間_火曜日_開始時間,営業時間_火曜日_終了時間,営業時間_火曜日_定休日フラグ,営業時間_水曜日_開始時間,営業時間_水曜日_終了時間,営業時間_水曜日_定休日フラグ,営業時間_木曜日_開始時間,営業時間_木曜日_終了時間,営業時間_木曜日_定休日フラグ,営業時間_金曜日_開始時間,営業時間_金曜日_終了時間,営業時間_金曜日_定休日フラグ,営業時間_土曜日_開始時間,営業時間_土曜日_終了時間,営業時間_土曜日_定休日フラグ,営業時間_日曜日_開始時間,営業時間_日曜日_終了時間,営業時間_日曜日_定休日フラグ,営業時間_その他（日本語）,営業時間_その他（英語）,対応可能言語_英語フラグ,対応可能言語_中国語（簡体字）フラグ,対応可能言語_中国語（繁体字）フラグ,対応可能言語_韓国語フラグ,対応可能言語_タイ語フラグ,対応可能言語_その他（日本語）,対応可能言語_その他（英語）,免税店プラグ,JNTO観光案内所フラグ,一時預かりフラグ,一時預かり_料金_固定,一時預かり_料金_変動上限値,一時預かり_料金_変動下限値,一時預かり_取扱可能品目_スーツケースフラグ,一時預かり_取扱可能品目_クール品フラグ,一時預かり_取扱可能品目_土産品フラグ,一時預かり_取扱可能品目_3辺長合計上限値,一時預かり_取扱可能品目_最大重量上限値,一時預かり_取扱可能品目_取扱金額上限値,一時預かり_取扱可能品目_その他（日本語）,一時預かり_取扱可能品目_その他（英語）,一時預かり_補償内容_取扱金額上限値,一時預かり_補償内容_その他（日本語）,一時預かり_補償内容_その他（英語）,配送_当日配送フラグ,配送_当日配送_料金_固定,配送_当日配送_料金_変動上限値,配送_当日配送_料金_変動下限値,配送_当日配送_取扱可能品目_スーツケースフラグ,配送_当日配送_取扱可能品目_クール品フラグ,配送_当日配送_取扱可能品目_土産品フラグ,配送_当日配送_取扱可能品目_3辺長合計上限値,配送_当日配送_取扱可能品目_最大重量上限値,配送_当日配送_取扱可能品目_取扱金額上限値,配送_当日配送_取扱可能品目_その他（日本語）,配送_当日配送_取扱可能品目_その他（英語）,配送_当日配送_補償内容_取扱金額上限値,配送_当日配送_補償内容_その他（日本語）,配送_当日配送_補償内容_その他（英語）,配送_当日配送_受付時間〆切,配送_当日配送_最終配送時間,配送_当日配送_配送先（日本語）,配送_当日配送_配送先（英語）,配送_一般配送フラグ,配送_一般配送_料金_固定,配送_一般配送_料金_変動上限値,配送_一般配送_料金_変動下限値,配送_一般配送_取扱可能品目_スーツケースフラグ,配送_一般配送_取扱可能品目_クール品フラグ,配送_一般配送_取扱可能品目_土産品フラグ,配送_一般配送_取扱可能品目_3辺長合計上限値,配送_一般配送_取扱可能品目_最大重量上限値,配送_一般配送_取扱可能品目_取扱金額上限値,配送_一般配送_取扱可能品目_その他（日本語）,配送_一般配送_取扱可能品目_その他（英語）,配送_一般配送_補償内容_取扱金額上限値,配送_一般配送_補償内容_その他（日本語）,配送_一般配送_補償内容_その他（英語）,配送_一般配送_配送先_全国各地発送フラグ,配送_一般配送_配送先_その他（日本語）,配送_一般配送_配送先_その他（英語）,配送_海外配送フラグ,配送_海外配送_料金_固定,配送_海外配送_料金_変動上限値,配送_海外配送_料金_変動下限値,配送_海外配送_取扱可能品目_スーツケースフラグ,配送_海外配送_取扱可能品目_クール品フラグ,配送_海外配送_取扱可能品目_土産品フラグ,配送_海外配送_取扱可能品目_3辺長合計上限値,配送_海外配送_取扱可能品目_最大重量上限値,配送_海外配送_取扱可能品目_取扱金額上限値,配送_海外配送_取扱可能品目_その他（日本語）,配送_海外配送_取扱可能品目_その他（英語）,配送_海外配送_補償内容_取扱金額上限値,配送_海外配送_補償内容_その他（日本語）,配送_海外配送_補償内容_その他（英語）
0000000564,20191216,1,20191216,20230317,株式会社オー・エス・エス,"O.S.S Co., Ltd.",5500003,27,1004,西区京町堀１-７-９　東洋ビル７階,,ツモカエクスプレス　東京汐留店,TUMOCA Express Tokyoshiodome,1058333,13,1032,東新橋１-６-３,Higashishinbasi 1-6-3,1,35.664488,139.760786,04,新橋駅徒歩３分、汐留駅徒歩１分,"Shinbashi Station 3 minutes,Shiodome Station 1 minutes",0664436020,,0800,2000,0,0800,2000,0,0800,2000,0,0800,2000,0,0800,2000,0,0800,2000,0,0800,2000,0,,,1,0,0,0,0,,,,,1,800,,,1,2,1,,,,,,,１万を上限として実費賠償,"For compensation of damages, we should pay actual expenses maximum 10,000 yen per baggage.",0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,1,,81100,9400,1,2,1,,,,,,,料金には２万円まで保険が含まれています。追加の損害賠償保険加入可能,"Fee include a premium of up to 20,000 yen.Additonal damages insurance can be subscribed"
0000000565,20191223,0,20191223,,株式会社ケイズハウス,"K's House CO.,LTD.",6008142,26,1009,下京区土手町通り七条上る納屋町４１８,"418 Naya-cho, Shimogyo-ku",ケイズハウス広島　手ぶら観光カウンター,K's House Hiroshima Hands-Free Travel Counter,7320824,34,1002,南区的場町１－８－９,"1-8-9 Matobacho, Minami-ku",,34.392449,132.473844,04,広島駅より徒歩１０分,10 minutes walk from JR Hiroshima Station,0825687244,https://kshouse.jp/hiroshima-e/index.html,0800,2200,0,0800,2200,0,0800,2200,0,0800,2200,0,0800,2200,0,0800,2200,0,0800,2200,0,,,1,0,0,0,0,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,1,,4160,930,1,2,1,160,25,300000,貴重品の取扱不可,Valuables are not accepted,300000,,,1,,,0,,,,,,,,,,,,,,
0000000567,20240911,0,20200107,,株式会社ジェイアール東日本物流,"JR East Logistics Co.,Ltd",1300013,13,1075,錦糸３－２－１　アルカイースト６階,"6F arcaeast  Bldg, 3-2-1 Kinshi",新幹線南乗換口改札前,shinkansen South Transfer In Front Of The ticket gate ,1000005,13,1016,丸の内１－９－１　ＪＲ東日本東京駅,Tokyo Station 1-9-1 Marunouchi,,35.680906,139.764695,02,,,09065392694,,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,0900,2100,0,急遽、営業日、営業時間が変更になる場合がございます。,,1,0,0,0,0,,,,,1,,1400,700,1,2,1,,30,300000,貴重品や生ものなど取扱不可の品あり,,300000,,,0,,3000,1800,1,2,1,,30,300000,,,300000,,,1400,1800,都内１５区のホテル及び浦安市内のホテル,Hotels in 15 wards of Tokyo and hotels in Urayasu city,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000573,20240911,0,20200108,,株式会社ジェイアール東日本物流,"JR East Logistics Co.,Ltd",1300013,13,1075,錦糸３－２－１　アルカイースト６階,"6F arcaeast  Bldg, 3-2-1 Kinshi",東京駅　丸の内中央口　改札内,Tokyo Station Marunouchi-Chuoguchi ,1000005,13,1016,丸の内１－９－１　ＪＲ東日本東京駅,Tokyo Station 1-9-1 Marunouchi,,35.681348,139.766029,02,,,09065358848,,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,,,1,0,0,0,0,,,,,1,,1400,700,1,2,1,,30,300000,貴重品や生ものなど取扱不可の品あり,,300000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000574,20240911,0,20200108,,株式会社ジェイアール東日本物流,"JR East Logistics Co.,Ltd",1300013,13,1075,錦糸３－２－１　アルカイースト６階,"6F arcaeast  Bldg, 3-2-1 Kinshi",品川駅　中央改札外,Shinagawa Station Chuo-Kaisatsugai,1080074,13,1032,高輪３－２６－２７　ＪＲ品川駅,Shinagawa Station 3-26-27 Takanawa,,35.629111,139.738931,02,,,08039399767,,1000,1900,0,,,1,,,1,,,1,1000,1900,0,1000,1900,0,1000,1900,0,,,1,0,0,0,0,,,,,1,,1400,700,1,2,1,,30,300000,貴重品や生ものなど取扱不可の品あり,,300000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000575,20240911,0,20200108,,株式会社ジェイアール東日本物流,"JR East Logistics Co.,Ltd",1300013,13,1075,錦糸３－２－１　アルカイースト６階,"6F arcaeast  Bldg, 3-2-1 Kinshi",品川駅　中央改札内,Shinagawa Station Chuo-Kaisatsunai,1080074,13,1032,高輪３－２６－２７　ＪＲ品川駅,Shinagawa Station 3-26-27 Takanawa,,35.629111,139.737931,02,,,08039399767,http://www.jrbutsuryu.jregroup.ne.jp/business/baggage.html,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,祝日も１０時～１９時まで営業,public holiday is open from 10 to 20,1,0,0,0,0,,,,,1,,1400,700,1,2,1,200,30,300000,貴重品や生ものなど取扱不可の品あり,,300000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000576,20240911,0,20200108,,株式会社ジェイアール東日本物流,"JR East Logistics Co.,Ltd",1300013,13,1075,錦糸３－２－１　アルカイースト６階,"6F arcaeast  Bldg, 3-2-1 Kinshi",新宿駅　中央東口　改札内,Shinjyuku Station Chuo-Higashiguchi Kaisatsunai,1600022,13,1041,新宿３－３８－１　ＪＲ新宿駅,Shinjyuku Station 3-38-1 Shinjyuku,,35.689957,139.700507,02,,,09090028517,http://www.jrbutsuryu.jregroup.ne.jp/business/baggage.html,,,1,,,1,,,1,,,1,,,1,1000,1930,0,1000,1930,0,,,1,0,0,0,0,,,,,1,,1400,700,1,2,1,,30,300000,,,300000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000577,20240911,0,20200108,,株式会社ジェイアール東日本物流,"JR East Logistics Co.,Ltd",1300013,13,1075,錦糸３－２－１　アルカイースト６階,"6F arcaeast  Bldg, 3-2-1 Kinshi",上野駅　公園口　改札内,Ueno Station kouenguchi Kaisatsunai,1100005,13,1067,上野７－１－１　ＪＲ上野駅,Ueno Station 7-1-1 Ueno,,35.713632,139.776789,02,,,09085596275,http://www.jrbutsuryu.jregroup.ne.jp/business/baggage.html,,,1,,,1,,,1,,,1,,,1,1000,1900,0,1000,1900,0,,,1,0,0,0,0,,,,,1,,1400,700,1,2,1,,30,300000,,,300000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000578,20240911,0,20200108,,株式会社ジェイアール東日本物流,"JR East Logistics Co.,Ltd",1300013,13,1075,錦糸３－２－１　アルカイースト６階,"6F arcaeast  Bldg, 3-2-1 Kinshi",池袋駅　改札外　東口　チェリーロード,ikebukuro Station Kaisatsusoto higasiguti tyeri-ro-do ,1710022,13,1164,南池袋１－２８－２　ＪＲ池袋駅,ikebukuro Station 1-28-2 minamiikebukuro,,35.728926,139.071038,02,,,09090021164,http://www.jrbutsuryu.jregroup.ne.jp/business/baggage.html,,,1,,,1,,,1,,,1,,,1,1000,2000,0,1000,2000,0,,,1,0,0,0,0,,,,,1,,1400,700,1,2,1,,30,300000,,,300000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000579,20200108,1,20200108,20220517,株式会社　福井新聞社,"THE FUKUI SHIMBUN CO., LTD.",9108552,18,2010,大和田２丁目８０１,2-801 owada,福井Ｖｅｓｔａ手ぶら観光カウンター,Fukui Vesta Hands-Free Travel Counters,9100006,18,2010,中央１－９－２４　Ｖｅｓｔａ１階,1F Vesta. 1-9-24 chuou,1,36.061930,136.219802,06,福井駅西口徒歩３分,Fukui station The west exit.3 minutes on foot,0776439799,,,,1,,,1,1100,2300,0,1100,2300,0,1100,2300,0,1100,2300,0,1100,2300,0,年末年始（１２／３１、１／１）は定休,"new year's holiday(12/31,1/1)is closed",1,0,0,0,0,,,1,1,1,,700,400,1,2,1,,,200000,貴重品、危険物、腐敗するもの、廃棄物ほか規約により取扱い不可,,200000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000580,20200123,0,20200123,,一般社団法人　若狭おばま観光協会,Wakasa Obama Tourism Association,9170077,18,2044,駅前町６－１,"6-1,Ekimaecho",若狭おばま観光案内所,Obama Tourist Information Center,9170077,18,2044,駅前町６－１,"6-1,Ekimaecho",1,35.293300,135.444400,05,小浜駅前徒歩１分,Obama Station 1 minutes on foot,0770523844,,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,0900,1800,0,年末年始（１２／２９～１／３）は休業,New Year's Holiday(12/29~1/3) is closed,1,1,1,1,1,ロシア語,Russian,1,,1,500,,,1,2,1,160,30,30000,,,30000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000581,20251111,1,20200207,20251010,一般社団法人千歳観光連盟,Chitose Tourist Association,0660019,01,2246,流通3-4-1,,北海道観光ステーション　カウンター,Hokkaido Tourist station counter,0660019,01,2246,流通3-4-1,ryutsu3cyome4-1,,42.827391,141.686847,05,,,0123248818,,0845,1830,0,0845,1830,0,0845,1830,0,0845,1830,0,0845,1830,0,0845,1830,0,0845,1830,0,,,1,0,1,0,0,,,1,5,0,,340,920,1,1,1,,,,,,,収受料金を上限として、補償いたします。,Compensation up to the payment amount.,0,,,,,,,,,,,,,,,,,,,1,,1680,3480,1,1,1,,,300000,,,300000,,,1,,,0,,,,,,,,,,,,,,
0000000582,20200217,0,20200218,,株式会社エピネット,ePI-NET ink,5500002,27,1004,西区江戸堀１－６－１３肥後橋堀田ビル５０２,502HigobashiHotta Bldg.1-6-13.No.1-6-13 Edobori Nishiku,難波日本橋手荷物預かりセンター,NanbaNipponbashi Hands Free Center,5420073,27,1004,中央区日本橋１－１８－１日本一会館３０６,"306Nipponichikaikan Bldg, 1-18-1,nipponbashi,cyuou-ku,osaka-shi,osaka-fu,542-0073,Japan",5,34.666511,135.505800,08,日本橋駅徒歩３０秒,Nipponbashi Station 30 seconds,0665377390,http://baggage-monster.com,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,年始１／１休業,New Year's Holiday(1/1)is closed.,1,1,1,1,1,英語、中国語、韓国語など７４言語,"74 languages including English, Chinese , Korean etc",1,1,1,500,,,1,2,1,200,30,50000,,,50000,,,1,,3160,2500,1,2,1,160,30,300000,スーツケースは３辺１６０ｃｍ、２５ｋｇまで,Suitcases on three sides up to 160cm and 25kg ,300000,,,1100,1500,関西エアーポートバゲージサービス,Kansai Airport Baggage Servise ,1,,3770,810,1,2,1,160,30,300000,スーツケースは３辺１６０ｃｍ、２５ｋｇまで,Suitcases on three sides up to 160cm and 25kg ,300000,,,1,北海道、沖縄、離島等の一部は翌日配送不可,"Hokkaido, Okinawa, Some of remote islands, etc. cannot be delivered the next day",0,,,,,,,,,,,,,,
0000000583,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,川崎Ｔｈｅ　Ｉｃｈｉ,Kawasaki The Ichi,2100023,14,1305,川崎区小川町４ー１ＬＡＣＩＴＴＡＤＥＬＬＡ内,Kawasaki-ku ogawamachi 4-1 LA CITTADELLA  Nai ,,35.530101,139.698554,08,,,0442101002,,1100,2100,0,1100,2100,0,1100,2100,0,1100,2100,0,1100,2100,0,1100,2100,0,1100,2100,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000584,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,赤レンガＴｈｅ　Ｉｃｈｉ,Akarenga The Ichi,2310001,14,1003,中区新港１ー１ー２横浜赤レンガ倉庫２号館２階,Naka-ku Shinminato 1-1-2 Yokohama red brick warehouse Building No. 2 floor,,35.452845,139.642926,08,,,0452228688,,1100,2000,0,1100,2000,0,1100,2000,0,1100,2000,0,1100,2000,0,1100,2000,0,1100,2000,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000585,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,東京スカイツリータウンソラマチかんざし屋ｗａｒｇｏ,Tokyo sukaituritaunsoramathi Kanzashiya wargo,1318634,13,1075,押上１ー１ー２東京スカイツリータウン・ソラマチ４階,Oshiage 1-1-2 Tokyosukaituritaunsoramathi,4,35.711379,139.812014,06,,,0358097221,https://shop-list.wargo.jp/kanzashiya/skytree,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000586,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,福岡天神ＰＡＲＣＯかんざし屋ｗａｒｇｏ,HukuokatenjinPARCO Kanzashiya wargo,8100001,40,1307,中央区天神２?１１?１福岡ＰＡＲＣＯ,Thuokutenjin2-11-1hukuokaPARCO,4,33.591709,130.398719,06,,,0922357378,https://shop-list.wargo.jp/kanzashiya/fukuoka,1000,2030,0,1000,2030,0,1000,2030,0,1000,2030,0,1000,2030,0,1000,2030,0,1000,2030,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000587,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,新京極かんざし屋ｗａｒｇｏ,Shinkyougoku Kanzashiya wargo,6048042,26,1009,中京区中之町５４１ー４,Nakagyoukunakanomathi541-1,1,35.005754,135.767314,08,,,0752312010,https://shop-list.wargo.jp/kanzashiya/shinkyogoku,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000588,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,静岡ＰＡＲＣＯかんざし屋ｗａｒｇｏ,ShizuokaPARCO Kanzashiya wargo,4200852,22,1007,葵区紺屋町６?７静岡ＰＡＲＣＯ,Aoikukonyatyo6-7 ShizuokaPARCO,4,34.973035,138.386139,06,,,0549038668,https://shop-list.wargo.jp/kanzashiya/shizuoka-parco,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,1000,2000,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000589,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,御幸町北斎グラフィック,Gokoumathi Hokusai Graphic,6048072,26,1009,中京区御幸町通六角西南角八百屋町１１２?３,Nakagyoukugokoumatidorirokkaku seinankakuyaoyatyo112-3,,35.007346,135.766351,08,,,0757462410,https://shop-list.wargo.jp/hokusai-graphic/gokohmachi,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000590,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,浅草新仲見世北斎グラフィック,Asakusasinnakamise Hokusai Graphic,1110032,13,1067,浅草１?２０?１２　宮原ビル,Asakusa1-20-12 MiyaharaBLD,1,35.711910,139.796207,08,,,0368028088,https://shop-list.wargo.jp/hokusai-graphic/asakusashinnakamise,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000591,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,新京極猫まっしぐら,Shinkyogoku Neko Massigura,6048046,26,1009,中京区新京極通蛸薬師下ル東側町５２４?１,Nakagyokushinkyougokudoritakoyakushikudaruhigasigawatyo 524-1,1,35.005474,135.767089,08,,,0752129111,https://shop-list.wargo.jp/neko-massigura/shinkyogoku,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,1200,2000,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000592,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,名古屋ＰＡＲＣＯかんざし屋ｗａｒｇｏ,NagoyaPARCO kanzashiya wargo,4600008,23,1002,中区栄３?２９?１名古屋ＰＡＲＣＯ西館,Nakakusakae3-29-1 NagoyaPARCO Nishikan,B1,35.163932,136.907478,08,,,0526848860,https://shop-list.wargo.jp/kanzashiya/nagoya,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000593,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,名古屋メイカーズピア北斎グラフィック,Nagoya Makerspier Hokusai Graphic,4550848,23,1002,港区金城ふ頭２ー７?１　メイカーズピア,Minatokukinjyohutou2-7-1 Makerspier,,35.050435,136.847404,06,,,0523875218,https://shop-list.wargo.jp/hokusai-graphic/nagoya-makerspier,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000594,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,名古屋ＰＡＲＣＯ北斎グラフィック,Nagoya PARCO Hokusai Graphic,4600008,23,1002,中区栄３ー２９?１　名古屋ＰＡＲＣＯ西館,Nakakusakae3-29-1 NagoyaPARCO Nishikan,6,35.163640,136.907357,06,,,0522648610,https://shop-list.wargo.jp/hokusai-graphic/nagoya-sakae,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,1000,2100,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000595,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,赤レンガ北斎グラフィック,Akarenga Hokusai Graphic,2310001,14,1003,中区新港１?１?２　２号館,Nakakushinminato1-1-2 2goukan,2,35.163640,136.907357,06,,,0452228688,https://shop-list.wargo.jp/hokusai-graphic/akarenga,1100,2000,0,1100,2000,0,1100,2000,0,1100,2000,0,1100,2000,0,1100,2000,0,1100,2000,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000596,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,京錦箸や万作本店,Kyonisiki Hashiya Mansaku,6048055,26,1009,中京区錦小路通り柳馬場東入東魚屋町１８５?２,Nakagyoukunishikikoujidoriyanaginobanbahigashiiruhigashiuoyatyo185-2,2,35.004968,135.764303,08,,,0752121848,https://shop-list.wargo.jp/hashi-mansaku/kyoshin-headshop,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000597,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,浅草新仲見世箸や万作／万作ギャラリー,Asakusashinnakamise Hashiya Mansaku/Mansakugallery,1110032,13,1067,浅草１?２０?１２染谷ビル,Asakusa1-20-12 SometaniBLD,1,35.711854,139.796190,08,,,0358306884,https://shop-list.wargo.jp/neko-massigura/asakusa-shin-nakamise,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,1000,1900,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
0000000598,20200318,0,20200318,,株式会社和心,"wagokoro CO.,LTD.",1510051,13,1130,千駄ヶ谷３ー２０ー１２,,京都　平安十二十二箸や万作／京都　平安十二十二北斎グラフィック,Kyoto Heiantonitoni Hashiya Mansaku/Kyoto Heiantonitoni Hokusai Graphic,6068341,26,1009,左京区岡崎西天王町９７ー２,Sakyokuokazakinishitennotyo97-2,,35.015133,135.781529,06,,,0757548855,https://shop-list.wargo.jp/hashi-mansaku/kyoto-heian-12,1000,1800,0,1000,1800,0,1000,1800,0,1000,1800,0,1000,1800,0,1000,1800,0,1000,1800,0,,,1,0,0,0,0,,,,,1,500,,,1,2,1,,,10000,,,10000,,,0,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
